1,あっ！飛行機雲だ！,快晴,暖かい,変化なさそう
2,今宵も満月なり。,薄曇り,肌寒い,変化なさそう
3,ラベンダー畑と星空の対比がきれい。,晴れ,ちょうどいい,変化なさそう
4,"みなさん、こんにちは。
こちらはうっすら雲はあるものの晴れています。気温も上がって過ごしやすい一日になりそう。",晴れ,暖かい,変化なさそう
5,午前中は雲が多かったですが、昼過ぎから晴れ間が出てきました。,晴れ,暑い,晴れそう
6,すじ雲です。,薄曇り,ちょうどいい,曇りそう
7,"満天の星空！！
明日もいい日になりそう！！",快晴,ちょうどいい,変化なさそう
8,"現在晴れの天気が継続中。
午前中と比べると雲が少し多くなった様子ですが、
まだ下り坂にはならなそう。",晴れ,暖かい,変化なさそう
9,スーパームーン,快晴,ちょうどいい,変化なさそう
10,体感ちょうどよく、気持ちのいい天気です。,薄曇り,ちょうどいい,晴れそう
11,"こんにちは。
だんだんと雲が増えてきてますが、雨を降らせるような感じではないです。",曇り,肌寒い,曇りそう
12,きれいな夕日〜♪,晴れ,ちょうどいい,変化なさそう
13,こんにちは。西方向の雲が厚くなってきました。,曇り,ちょうどいい,悪くなりそう
14,"どんどん雲が侵食中。
まだ雨にはならなそうな空だけどね。",曇り,ちょうどいい,曇りそう
15,山の天気は変わりやすい,霧,肌寒い,悪くなりそう
16,真っ白な銀世界,晴れ,凍えるほど寒い,変化なさそう
17,薄曇りになってきました。穏やかな陽気。,薄曇り,暖かい,変化なさそう
18,冷たい風がやや強く吹いています。,曇り,肌寒い,悪くなりそう
19,幻想的な世界,曇り,肌寒い,変化なさそう
20,南寄りの風が冷たいです,薄曇り,肌寒い,曇りそう
21,ご来光、かな？,曇り,ちょうどいい,曇りそう
22,午前中は雲が多かったですが、昼過ぎから晴れ間が出てきました。,晴れ,ちょうどいい,晴れそう
23,"ベランダから撮影
こんにちは、今日もいい天気です。",晴れ,暑い,晴れそう
24,今朝はちらほら雪がふっていましたが、今は止みました。,快晴,ちょうどいい,変化なさそう
25,今日も1日晴れてくれればいいのになぁ。,薄曇り,暖かい,曇りそう
26,眩しい光は雲の中,晴れ,暑い,晴れそう
27,"夕焼けと雲
今日は降るのかなぁ？",曇り,肌寒い,悪くなりそう
28,散歩してたら、もうこんな季節かぁ,快晴,暖かい,変化なさそう
29,今の周辺の空の様子です。,曇り,暖かい,悪くなりそう
30,少しひんやりしてきました。,薄曇り,肌寒い,曇りそう
31,オレンジが映える,晴れ,肌寒い,変化なさそう
32,雲は多いけど、今の所暖かいです。,曇り,暖かい,変化なさそう
33,晴れてはいますが、今日も北風が冷たいです。,晴れ,肌寒い,変化なさそう
34,ひさびさに虹が見れました！！,曇り,ちょうどいい,変化なさそう
35,夕焼け小焼けのまた明日,晴れ,ちょうどいい,曇りそう
36,南の空です。,晴れ,うだる暑さ,晴れそう
37,"風が出てきて、寒くなってきました。
天気は下り坂のようです。",曇り,肌寒い,悪くなりそう
38,日の出と雪模様,薄曇り,肌寒い,変化なさそう
39,チラチラ雪が降り始めました,雪,凍えるほど寒い,悪くなりそう
40,おっきな入道雲！！,曇り,暑い,悪くなりそう
41,"こんにちは^_^ ギラギラ太陽が眩しいです。",晴れ,暖かい,変化なさそう
42,夕焼けに飛び立つ飛行機,曇り,ちょうどいい,変化なさそう
43,"今朝、虹が出ました。
今日はいい日になりそう。",曇り,暖かい,晴れそう
44,今日も朝から雪です。,大雪,凍えるほど寒い,曇りそう
45,"雲が出て、寒くなってきました。
天気は悪くなるかも。",曇り,肌寒い,悪くなりそう
46,明日は晴れるといいなぁ。,薄曇り,暑い,曇りそう
47,ギラギラ眩しいお天道様,快晴,暑い,変化なさそう
48,なんだか幻想的な色になっちゃった,薄曇り,暖かい,変化なさそう
49,"夕日が沈む。。。
明日もいい日になるといいな。",晴れ,暖かい,変化なさそう
50,おっきなお月さま,晴れ,ちょうどいい,変化なさそう
